0,1,2,3,4,5
31000.0,2019-11-01,"(844.718, 915.5]",1,1,0
31000.0,2019-11-01,"(915.5, 986.0]",1,1,0
31000.0,2019-11-01,"(986.0, 1056.5]",1,1,0
31000.0,2019-11-01,"(1056.5, 1127.0]",2,4,-2
31001.0,2019-11-01,"(763.571, 871.25]",1,3,-2
31001.0,2019-11-01,"(1085.75, 1193.0]",1,2,-1
31002.0,2019-11-01,"(357.214, 554.5]",4,10,-6
31002.0,2019-11-01,"(554.5, 751.0]",3,3,0
31002.0,2019-11-01,"(751.0, 947.5]",4,7,-3
31002.0,2019-11-01,"(947.5, 1144.0]",4,7,-3
31003.0,2019-11-01,"(426.32, 597.0]",2,4,-2
31003.0,2019-11-01,"(597.0, 767.0]",2,4,-2
31003.0,2019-11-01,"(767.0, 937.0]",2,2,0
31003.0,2019-11-01,"(937.0, 1107.0]",2,5,-3
31004.0,2019-11-01,"(879.0, 1072.0]",1,4,-3
31004.0,2019-11-01,"(1072.0, 1265.0]",2,1,1
31005.0,2019-11-01,"(439.162, 649.5]",4,5,-1
31005.0,2019-11-01,"(649.5, 859.0]",3,5,-2
31005.0,2019-11-01,"(859.0, 1068.5]",2,6,-4
31005.0,2019-11-01,"(1068.5, 1278.0]",2,8,-6
31006.0,2019-11-01,"(937.0, 1136.0]",5,1,4
31006.0,2019-11-01,"(1136.0, 1335.0]",1,1,0
31007.0,2019-11-01,"(424.017, 670.75]",14,22,-8
31007.0,2019-11-01,"(670.75, 916.5]",4,6,-2
31007.0,2019-11-01,"(916.5, 1162.25]",7,20,-13
31007.0,2019-11-01,"(1162.25, 1408.0]",2,4,-2
31009.0,2019-11-01,"(381.286, 560.5]",4,4,0
31009.0,2019-11-01,"(560.5, 739.0]",1,3,-2
31009.0,2019-11-01,"(739.0, 917.5]",2,3,-1
31009.0,2019-11-01,"(917.5, 1096.0]",2,3,-1
31010.0,2019-11-01,"(777.75, 930.5]",1,2,-1
31010.0,2019-11-01,"(930.5, 1083.25]",1,1,0
31010.0,2019-11-01,"(1083.25, 1236.0]",1,1,0
31011.0,2019-11-01,"(406.987, 661.25]",4,6,-2
31011.0,2019-11-01,"(661.25, 914.5]",2,4,-2
31011.0,2019-11-01,"(914.5, 1167.75]",2,5,-3
31012.0,2019-11-01,"(362.181, 567.75]",5,6,-1
31012.0,2019-11-01,"(567.75, 772.5]",1,1,0
31012.0,2019-11-01,"(977.25, 1182.0]",1,4,-3
31013.0,2019-11-01,"(928.5, 1167.25]",2,6,-4
31013.0,2019-11-01,"(1167.25, 1406.0]",1,1,0
31014.0,2019-11-01,"(171.778, 478.5]",3,4,-1
31014.0,2019-11-01,"(478.5, 784.0]",18,26,-8
31014.0,2019-11-01,"(784.0, 1089.5]",13,27,-14
31014.0,2019-11-01,"(1089.5, 1395.0]",9,13,-4
31015.0,2019-11-01,"(84.755, 397.25]",2,3,-1
31015.0,2019-11-01,"(397.25, 708.5]",10,10,0
31015.0,2019-11-01,"(708.5, 1019.75]",5,13,-8
31015.0,2019-11-01,"(1019.75, 1331.0]",5,7,-2
31016.0,2019-11-01,"(90.017, 336.75]",3,4,-1
31016.0,2019-11-01,"(336.75, 582.5]",3,7,-4
31016.0,2019-11-01,"(582.5, 828.25]",1,1,0
31016.0,2019-11-01,"(828.25, 1074.0]",4,8,-4
31017.0,2019-11-01,"(475.055, 712.25]",7,8,-1
31017.0,2019-11-01,"(712.25, 948.5]",1,4,-3
31017.0,2019-11-01,"(1184.75, 1421.0]",1,6,-5
31018.0,2019-11-01,"(423.272, 606.0]",1,5,-4
31018.0,2019-11-01,"(970.0, 1152.0]",2,1,1
31019.0,2019-11-01,"(675.0, 935.5]",2,1,1
31019.0,2019-11-01,"(935.5, 1196.0]",3,1,2
31020.0,2019-11-01,"(819.5, 1092.0]",1,1,0
31021.0,2019-11-01,"(101.754, 414.5]",2,2,0
31021.0,2019-11-01,"(414.5, 726.0]",1,8,-7
31021.0,2019-11-01,"(726.0, 1037.5]",2,4,-2
31021.0,2019-11-01,"(1037.5, 1349.0]",3,6,-3
31022.0,2019-11-01,"(392.25, 709.5]",2,5,-3
31022.0,2019-11-01,"(709.5, 1026.75]",1,3,-2
31022.0,2019-11-01,"(1026.75, 1344.0]",1,4,-3
31023.0,2019-11-01,"(502.108, 726.0]",2,4,-2
31023.0,2019-11-01,"(726.0, 949.0]",1,2,-1
31023.0,2019-11-01,"(949.0, 1172.0]",1,3,-2
31023.0,2019-11-01,"(1172.0, 1395.0]",1,2,-1
31024.0,2019-11-01,"(371.975, 629.25]",6,9,-3
31024.0,2019-11-01,"(629.25, 885.5]",1,2,-1
31024.0,2019-11-01,"(885.5, 1141.75]",9,16,-7
31024.0,2019-11-01,"(1141.75, 1398.0]",2,5,-3
31025.0,2019-11-01,"(652.5, 814.0]",2,1,1
31025.0,2019-11-01,"(814.0, 975.5]",2,3,-1
31025.0,2019-11-01,"(975.5, 1137.0]",2,3,-1
31026.0,2019-11-01,"(61.652, 400.0]",1,1,0
31026.0,2019-11-01,"(737.0, 1074.0]",3,1,2
31026.0,2019-11-01,"(1074.0, 1411.0]",1,7,-6
31027.0,2019-11-01,"(741.25, 939.5]",1,3,-2
